T1,u,mte_loi,z1,HB1,overload_ratio,suggested_mte
364848.54,2.2,2.0,20,202.9,1.13,2.5
440102.17,3.51,2.0,21,229.5,1.2,2.5
433006.3,4.39,2.0,18,238.1,1.26,2.5
281881.01,2.38,2.0,25,196.2,1.2,2.5
306291.51,2.44,3.0,21,197.6,1.41,3.5
439645.68,2.91,2.5,18,223.4,1.24,3.0
262809.43,2.0,2.5,19,218.8,1.18,3.0
335168.19,2.88,1.5,29,229.5,1.41,2.0
471170.54,3.97,2.5,18,214.1,1.27,3.0
361676.79,3.44,2.0,28,229.4,1.27,2.5
338503.04,2.71,3.0,18,225.6,1.37,3.5
385732.52,2.51,3.0,19,228.6,1.13,3.5
300751.63,4.13,1.5,21,203.1,1.36,2.0
336237.93,3.49,1.5,27,238.5,1.32,2.0
456978.68,2.52,2.5,21,212.3,1.16,3.0
416616.66,4.04,2.5,24,207.2,1.31,3.0
153405.45,4.36,1.5,22,193.9,1.46,2.0
226442.3,3.26,2.5,18,228.6,1.29,3.0
463812.49,2.68,3.0,21,226.1,1.3,3.5
225712.27,2.58,2.5,22,234.5,1.2,3.0
155068.62,2.74,1.5,20,207.6,1.46,2.0
426334.77,3.36,2.5,30,195.8,1.19,3.0
304680.16,3.51,3.0,24,206.0,1.41,3.5
194799.58,4.02,1.5,21,234.6,1.45,2.0
427183.69,2.51,1.5,21,230.7,1.22,2.0
483054.19,3.03,1.5,29,194.6,1.24,2.0
311437.39,2.27,1.5,24,213.7,1.49,2.0
255249.79,3.88,1.5,20,238.1,1.29,2.0
368642.93,4.34,2.0,28,233.0,1.43,2.5
316151.94,3.28,2.5,27,228.8,1.38,3.0
207282.73,2.03,2.5,29,238.3,1.42,3.0
289442.79,2.07,2.5,27,191.2,1.48,3.0
195913.42,2.83,2.5,21,221.9,1.23,3.0
278093.15,4.5,2.0,25,229.9,1.41,2.5
306713.66,3.58,2.0,29,193.9,1.43,2.5
404347.25,3.86,3.0,20,193.5,1.11,3.5
197792.09,3.56,2.0,20,197.8,1.2,2.5
414507.2,2.39,2.5,25,232.0,1.17,3.0
164952.87,3.79,1.5,28,191.6,1.25,2.0
422535.1,2.08,1.5,18,212.5,1.43,2.0
