T3,u,m_loi,z1,overload_ratio,suggested_m
1188662.19,2.93,1.5,27,1.37,2.0
584440.38,2.15,2.5,23,1.2,3.0
1193157.5,3.17,3.0,28,1.41,3.5
1011183.75,2.33,1.5,23,1.25,2.0
1980790.99,4.47,3.0,30,1.13,3.5
782752.18,4.44,2.0,30,1.18,2.5
580218.08,2.62,2.0,25,1.28,2.5
969309.91,2.57,2.0,31,1.46,2.5
1267163.25,2.83,3.0,20,1.26,3.5
557438.0,2.73,3.0,21,1.48,3.5
1351403.98,3.06,1.5,31,1.36,2.0
1214143.94,4.11,2.0,20,1.18,2.5
712928.86,3.18,3.0,26,1.15,3.5
1131896.26,3.05,2.5,27,1.22,3.0
514228.8,2.29,2.5,20,1.3,3.0
987172.22,3.48,2.0,22,1.43,2.5
634731.85,2.63,3.0,25,1.41,3.5
1477522.33,4.45,2.5,31,1.43,3.0
534659.69,2.76,2.0,22,1.19,2.5
1422990.82,3.94,2.0,22,1.16,2.5
538044.06,3.59,3.0,32,1.34,3.5
762668.08,3.33,2.5,19,1.13,3.0
975084.91,3.74,2.5,32,1.14,3.0
868977.05,3.13,2.5,24,1.41,3.0
1171615.91,2.85,2.0,24,1.46,2.5
1231972.68,3.55,3.0,29,1.3,3.5
1120489.64,2.41,3.0,23,1.17,3.5
1591722.71,3.51,1.5,23,1.24,2.0
491192.47,2.06,2.0,19,1.2,2.5
1203028.99,2.81,2.5,32,1.49,3.0
1025168.92,3.06,2.5,27,1.39,3.0
824477.7,4.44,2.0,21,1.28,2.5
1081308.6,2.87,3.0,27,1.16,3.5
781788.55,3.22,2.0,27,1.25,2.5
973814.47,2.84,1.5,25,1.38,2.0
853561.01,3.69,3.0,19,1.39,3.5
729958.59,4.22,1.5,22,1.48,2.0
1185783.8,3.79,1.5,28,1.45,2.0
765663.38,2.61,2.5,24,1.37,3.0
1493110.31,3.3,2.0,31,1.49,2.5
1038590.01,3.9,1.5,29,1.49,2.0
867656.18,2.87,2.5,22,1.42,3.0
1093327.24,2.37,2.0,30,1.14,2.5
1457958.32,4.05,3.0,24,1.15,3.5
594281.53,3.11,2.5,29,1.37,3.0
765755.39,3.56,1.5,32,1.43,2.0
840180.32,2.7,2.5,29,1.16,3.0
586100.15,3.6,2.0,21,1.3,2.5
752195.69,2.68,1.5,19,1.38,2.0
701145.83,3.16,1.5,31,1.13,2.0
1122833.56,2.63,3.0,25,1.31,3.5
874522.52,3.54,1.5,27,1.3,2.0
1234406.86,4.17,2.0,19,1.2,2.5
607567.72,2.37,2.5,26,1.31,3.0
1408848.21,3.8,2.0,25,1.27,2.5
946415.65,3.78,2.5,25,1.32,3.0
645739.25,3.09,2.5,29,1.45,3.0
